trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.9, 'e': 0.9342286880693632}",20,-100,-485.6897078227117,"{0: 77, 1: 7, 2: 28, 3: 2, 4: 6}",0
69,False,"{'a': 0.9, 'e': 0.9332944593812939}",20,-40,-278.10861331406966,"{0: 35, 1: 9, 2: 10, 3: 3, 4: 3}",0
70,False,"{'a': 0.9, 'e': 0.9323611649219126}",20,-100,-371.81781745895944,"{0: 79, 1: 7, 2: 28, 3: 3, 4: 3}",0
71,False,"{'a': 0.9, 'e': 0.9314288037569907}",25,4,-39.72634866915391,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 0}",1
72,False,"{'a': 0.9, 'e': 0.9304973749532336}",30,1,-219.21132828696523,"{0: 17, 1: 0, 2: 7, 3: 1, 4: 4}",1
73,False,"{'a': 0.9, 'e': 0.9295668775782804}",25,-38,-138.93535369257495,"{0: 43, 1: 6, 2: 12, 3: 1, 4: 1}",0
74,False,"{'a': 0.9, 'e': 0.9286373107007021}",20,-55,-418.3012008718135,"{0: 44, 1: 12, 2: 9, 3: 3, 4: 7}",0
75,False,"{'a': 0.9, 'e': 0.9277086733900014}",20,-30,-140.7257295568759,"{0: 33, 1: 3, 2: 13, 3: 0, 4: 1}",0
76,False,"{'a': 0.9, 'e': 0.9267809647166114}",30,-100,-344.9335282946918,"{0: 93, 1: 12, 2: 18, 3: 2, 4: 5}",0
77,False,"{'a': 0.9, 'e': 0.9258541837518948}",30,-62,-444.53546320815997,"{0: 58, 1: 4, 2: 21, 3: 3, 4: 6}",0
78,False,"{'a': 0.9, 'e': 0.9249283295681429}",20,-91,-452.1498569568341,"{0: 69, 1: 13, 2: 22, 3: 1, 4: 6}",0
79,False,"{'a': 0.9, 'e': 0.9240034012385747}",20,-43,-270.6487610555188,"{0: 37, 1: 6, 2: 14, 3: 4, 4: 2}",0
80,False,"{'a': 0.9, 'e': 0.9230793978373362}",20,10,-47.82343745159724,"{0: 6, 1: 0, 2: 2, 3: 2, 4: 0}",1
